geneSymbol,ID,Ratio_40A_03A,Ratio_03A_40A,average 03A,Average 40A,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
LDHA,3093,0.27,3.72,1390,372,741,1105,2144,1570,383,61,278,767
LDHA,3104,0.30,3.30,1581,479,847,1274,2583,1621,518,0,447,950
MYL6,4343,0.31,3.22,726,224,607,357,1229,709,211,175,190,320
RPL21,5220,0.34,2.92,656,223,624,287,953,758,359,0,212,322
RPL21,5221,0.34,2.92,656,223,624,287,953,758,359,0,212,322
HNRNPDL,14816,0.34,2.92,794,271,757,363,1093,961,391,0,297,394
ACTN4,9406,0.38,2.58,448,173,391,261,600,540,229,31,125,305
RAP1B,4394,0.39,2.56,806,315,536,287,1385,1017,385,50,453,370
ELF1,5396,0.40,2.50,511,204,586,309,923,224,422,0,317,75
ACTN4,9405,0.40,2.49,411,164,412,210,542,478,219,22,107,308
RAP1B,4393,0.41,2.40,563,234,407,185,947,712,272,54,314,294
RHOA,14044,0.42,2.39,1314,550,1114,739,2181,1223,618,0,613,969
NCL,11083,0.43,2.28,483,210,445,286,586,613,237,72,128,404
YBX1,789,0.44,2.28,1633,717,1234,987,2433,1877,871,0,618,1377
RTN4,11280,0.44,2.26,438,193,394,271,699,387,272,0,247,253
TPM3,1192,0.45,2.20,1715,777,1841,1062,2420,1538,797,309,820,1183
WDR26,1555,0.47,2.10,468,222,292,332,823,426,318,0,310,259
WDR26,1552,0.49,2.05,520,253,342,289,859,589,363,0,345,303
PTP4A2,1732,0.49,2.04,963,471,883,614,1427,927,495,0,516,872
RNF10,4082,0.49,2.04,361,176,332,245,539,327,245,0,179,280
WDR26,1551,0.49,2.03,481,237,319,271,769,565,347,0,319,280
P4HB,8794,0.49,2.02,1061,523,632,761,1502,1349,511,94,286,1201
ACTN1,6027,0.50,2.00,398,198,417,157,705,311,93,84,222,393
ACTN1,6028,0.50,2.00,398,198,417,157,705,311,93,84,222,393
CYB5R3,12734,0.50,1.99,390,195,237,195,659,468,211,74,178,315
ENSG00000288663,4277,0.51,1.95,632,322,581,349,789,808,381,172,265,471
PFDN5,4278,0.51,1.95,632,322,581,349,789,808,381,172,265,471
HNRNPM,9581,0.51,1.95,360,183,346,183,531,380,178,59,132,364
HNRNPM,9582,0.51,1.95,360,183,346,183,531,380,178,59,132,364
TFRC,13847,0.51,1.94,381,196,245,448,430,401,129,13,130,511
ENSG00000257379,4298,0.52,1.92,1941,1010,1472,1286,2779,2228,1080,650,921,1388
STAT5A,7884,0.52,1.90,372,195,262,245,548,432,250,0,151,379
NCL,11082,0.53,1.87,850,454,809,436,1021,1133,541,111,281,881
PPIA,16915,0.53,1.87,1210,648,1212,500,1662,1466,874,186,589,941
OPA1,13154,0.53,1.85,261,140,198,75,415,355,203,19,157,181
DUSP1,15550,0.54,1.85,846,457,1077,266,1733,308,431,0,905,491
DDX3X,19142,0.54,1.84,424,229,507,284,428,475,259,106,255,295
PSME4,11276,0.54,1.83,296,161,233,189,395,367,282,0,164,196
MEF2D,1248,0.54,1.83,468,255,524,233,723,392,231,169,355,266
PTMA,10324,0.55,1.81,533,294,456,504,665,507,317,156,261,441
PPIA,16916,0.55,1.80,1085,601,1212,0,1662,1466,874,0,589,941
G3BP2,14760,0.56,1.78,343,191,350,156,438,427,225,22,198,320
PSME4,11264,0.56,1.78,334,187,233,202,444,455,314,35,175,222
CCNY,2243,0.56,1.77,362,204,279,194,496,479,282,0,224,310
RBM39,11871,0.57,1.75,392,223,367,256,554,392,176,81,235,400
RTN3,3280,0.57,1.73,380,218,362,235,545,377,185,0,140,548
PTGES3,5023,0.58,1.71,295,172,324,110,415,332,195,27,126,338
EIF4A1,8131,0.58,1.71,1222,714,1303,630,1417,1539,673,273,484,1427
RCC2,1349,0.58,1.70,309,180,312,0,495,427,155,0,155,410
RANBP9,16310,0.59,1.69,291,171,277,145,464,277,297,0,123,264
PFDN5,4279,0.60,1.67,1076,644,986,617,1360,1340,761,354,595,864
XRCC6,12552,0.60,1.67,499,299,432,242,683,638,398,0,238,558
JARID2,15857,0.60,1.66,346,208,201,232,544,407,284,123,273,151
PTMA,10325,0.61,1.64,4583,2785,3671,4604,5739,4319,3365,1372,2411,3993
RPN2,11588,0.61,1.64,378,230,340,169,496,507,260,5,141,512
PTGES3,5022,0.61,1.63,476,292,483,192,634,593,352,38,255,521
CLTC,8013,0.61,1.62,346,212,279,179,536,391,301,0,152,396
TRAM1,18236,0.62,1.61,534,331,352,241,973,570,434,0,355,533
CAPRIN1,3125,0.62,1.60,249,155,262,94,307,334,241,0,104,276
MTDH,17889,0.62,1.59,480,300,344,193,792,592,340,0,246,615
MDM2,4417,0.62,1.59,250,156,196,112,374,319,157,36,184,248
HNRNPA2B1,17380,0.63,1.57,639,406,665,445,774,673,602,225,392,403
OPA1,13159,0.63,1.57,242,153,155,123,396,295,248,0,163,202
EIF3I,716,0.63,1.56,313,199,257,195,463,338,207,80,128,382
USP9X,19117,0.63,1.56,246,157,200,156,360,269,218,0,185,224
DDX3X,19140,0.64,1.56,416,266,518,244,490,410,296,168,268,330
CSDE1,1064,0.64,1.55,828,532,764,374,1299,873,681,0,512,935
EIF3I,715,0.64,1.55,328,211,254,214,491,354,219,104,135,387
HNRNPA2B1,17376,0.64,1.55,271,174,413,102,240,327,273,32,115,276
TAGLN2,1264,0.65,1.54,1646,1065,1988,1402,3195,0,1065,254,893,2049
RBM39,11862,0.65,1.53,1098,718,1180,635,1584,994,710,0,970,1190
EWSR1,12406,0.65,1.53,369,241,333,268,390,486,337,79,142,406
ARPC2,10236,0.66,1.52,1138,748,1337,468,1575,1172,748,0,893,1349
HNRNPA2B1,17375,0.65,1.52,293,192,278,165,351,376,312,60,210,185
HIF1A,5692,0.66,1.51,691,456,699,329,832,902,561,179,695,390
PTGES3,5021,0.66,1.51,407,269,436,153,590,449,317,76,216,466
RPLP0,4696,0.67,1.50,5848,3893,4647,3211,8532,7000,4267,1312,2551,7440
DDX3X,19151,0.67,1.49,375,250,423,315,409,351,275,101,292,331
DDX3X,19152,0.67,1.49,375,250,423,315,409,351,275,101,292,331
SNX5,11787,0.66,1.49,262,175,211,143,317,378,233,0,133,333
YWHAE,8237,0.67,1.48,655,442,795,334,757,735,520,0,264,984
WAC,2229,0.67,1.48,347,234,281,236,871,0,265,0,304,366
WAC,2230,0.67,1.48,347,234,281,236,871,0,265,0,304,366
UBR4,1407,0.67,1.48,239,161,223,155,335,243,200,78,157,209
KAT7,7972,0.68,1.47,340,231,363,176,557,264,252,75,236,359
SENP3-EIF4A1,8132,0.68,1.47,1395,949,1446,706,1819,1608,873,264,672,1987
NONO,19230,0.68,1.46,623,426,679,278,830,703,497,123,271,813
LSM14A,9354,0.68,1.46,592,406,447,271,994,655,411,180,440,591
NARF,8202,0.68,1.46,316,216,309,220,376,357,216,77,173,397
ARPC4,13489,0.69,1.44,495,343,504,0,857,618,385,0,396,592
MACROH2A1,15404,0.70,1.43,697,485,882,295,889,720,264,134,274,1269
HNRNPU,1669,0.70,1.43,737,514,1056,302,762,829,549,0,544,962
DDX3X,19148,0.69,1.43,272,189,299,206,302,280,245,58,203,249
KAT7,7969,0.69,1.43,323,224,357,184,449,300,243,93,254,307
PFDN5,4281,0.69,1.43,451,314,403,278,591,533,356,188,321,392
