,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
BAZ2A.5016,135,133,348,199,130,194,192,153
YTHDC1.14744,135,85,308,135,132,235,165,132
MAN2B1.9618,0,156,272,272,150,152,137,238
RPS9.9523,0,921,2116,1782,938,1732,737,1456
CSNK1D.8810,172,154,346,369,211,226,192,183
CASP8.10153,120,213,221,318,199,283,166,151
GMFG.9743,0,226,377,356,286,0,167,323
QARS1.14013,0,204,494,391,265,0,175,392
PCBP2.4296,0,982,2611,2029,1344,0,1114,1916
TRPC4AP.11838,0,209,338,358,265,0,271,292
HNRNPA3.10072,0,227,548,584,391,0,243,364
HNRNPA3.10071,0,375,927,1009,648,0,478,757
SF3B3.7316,0,0,144,153,192,18,126,301
MLC1.12754,0,0,499,275,505,0,143,593
RPL23.8396,0,2499,7771,6286,5073,0,0,8545
RPSA.13267,0,0,4276,3720,2277,0,1959,4224
UXT.19435,0,139,350,311,221,67,214,408
DDB1.3712,0,133,326,290,211,38,141,371
NAP1L1.5095,1152,467,2473,1424,1657,285,1802,2172
NAP1L1.5094,718,264,1498,842,1018,171,1071,1288
PRRC2C.360,364,126,606,433,425,51,458,371
USP9X.19122,195,0,401,326,291,0,227,253
MDM4.481,164,85,209,192,170,32,188,191
SCAF8.15864,209,142,397,272,242,0,278,327
SMCHD1.8908,125,77,260,281,272,14,335,178
SMCHD1.8903,0,117,338,335,368,0,453,241
AZIN1.17952,0,128,453,262,293,0,277,282
DDX6.3526,0,0,599,512,495,0,661,724
THBS1.6206,381,465,2472,5170,5525,1244,1235,191
HIF1A.5692,699,329,832,902,561,179,695,390
STK4.11641,216,110,297,388,327,0,303,204
STK4.11642,266,125,380,442,436,0,410,242
TMEM259.9590,669,556,798,805,686,186,696,562
STK4.11643,256,145,371,425,359,0,291,199
FTH1.3724,4470,2573,5264,6062,5133,0,4562,3187
PTPRC.450,583,0,459,579,631,0,497,507
ELOVL5.16558,295,172,325,438,424,0,205,500
PCM1.17670,245,89,202,255,356,0,161,305
STXBP5.15835,402,124,286,311,412,0,279,462
ASAH1.18092,314,156,257,256,369,15,105,264
ASAH1.18094,314,156,257,256,369,15,105,264
HNRNPA2B1.17379,326,95,200,279,275,82,155,207
HNRNPA2B1.17376,413,102,240,327,273,32,115,276
DDX3X.19140,518,244,490,410,296,168,268,330
DDX3X.19142,507,284,428,475,259,106,255,295
DDX3X.19151,423,315,409,351,275,101,292,331
DDX3X.19152,423,315,409,351,275,101,292,331
DDX3X.19149,299,206,303,278,246,58,203,249
DDX3X.19148,299,206,302,280,245,58,203,249
DDX3X.19143,792,408,778,650,552,185,579,726
DDX3X.19144,792,408,778,650,552,0,579,726
DDX3X.19145,792,408,778,650,552,0,579,726
BCL7B.17498,223,123,247,184,175,34,214,270
EIF3A.2599,561,244,576,431,384,0,410,694
EIF3A.2600,531,280,528,445,459,0,381,611
PABPC1.17917,3363,1346,4349,3503,3245,0,2772,4243
KAT7.7969,357,184,449,300,243,93,254,307
KAT7.7972,363,176,557,264,252,75,236,359
RBM39.11862,1180,635,1584,994,710,0,970,1190
BCL7B.17499,412,208,470,366,269,101,352,464
MARCHF6.14868,243,88,345,238,171,15,197,273
ARPC2.10236,1337,468,1575,1172,748,0,893,1349
EWSR1.12406,333,268,390,486,337,79,142,406
PHB2.5075,249,163,329,376,220,96,162,304
PHB2.5076,249,163,329,376,220,96,162,304
EIF4A1.8131,1303,630,1417,1539,673,273,484,1427
NCL.11082,809,436,1021,1133,541,111,281,881
P4HB.8794,632,761,1502,1349,511,94,286,1201
EIF3I.715,254,214,491,354,219,104,135,387
