,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
HLA-E.15964,1040,421,895,622,948,3079,1412,992
ARHGEF1.9448,487,89,136,215,265,566,428,306
CD74.15487,2481,1195,1019,982,1144,0,3210,996
CD74.15490,2165,1019,881,911,1005,0,2738,844
FOXP1.14161,447,206,416,312,439,56,695,435
CLK1.10982,571,306,642,351,492,28,832,546
OGA.2550,295,146,372,265,389,0,466,487
DDX6.3521,705,0,857,0,744,0,987,1183
DDX6.3526,0,0,599,512,495,0,661,724
PRRC2C.360,364,126,606,433,425,51,458,371
NAP1L1.5095,1152,467,2473,1424,1657,285,1802,2172
NAP1L1.5094,718,264,1498,842,1018,171,1071,1288
PTPRC.450,583,0,459,579,631,0,497,507
PABPC1.17921,5030,2179,7169,5398,5935,1254,4927,7886
PABPC1.17918,4558,1815,5470,4636,5194,1799,4609,7287
PABPC1.17919,3389,1296,4077,3275,3733,1240,3124,5327
RBM39.11862,1180,635,1584,994,710,0,970,1190
BCL7B.17499,412,208,470,366,269,101,352,464
ARPC2.10236,1337,468,1575,1172,748,0,893,1349
PABPC1.17917,3363,1346,4349,3503,3245,0,2772,4243
EIF3A.2599,561,244,576,431,384,0,410,694
EIF3A.2600,531,280,528,445,459,0,381,611
HNRNPU.1669,1056,302,762,829,549,0,544,962
DDX3X.19143,792,408,778,650,552,185,579,726
DDX3X.19144,792,408,778,650,552,0,579,726
DDX3X.19145,792,408,778,650,552,0,579,726
TAGLN2.1264,1988,1402,3195,0,1065,254,893,2049
DDX5.8696,1057,351,979,657,649,547,733,728
DUSP1.15550,1077,266,1733,308,431,0,905,491
PTMA.10325,3671,4604,5739,4319,3365,1372,2411,3993
PTMA.10324,456,504,665,507,317,156,261,441
LDHA.3093,741,1105,2144,1570,383,61,278,767
LDHA.3104,847,1274,2583,1621,518,0,447,950
RAP1B.4394,536,287,1385,1017,385,50,453,370
ENSG00000257379.4298,1472,1286,2779,2228,1080,650,921,1388
YBX1.789,1234,987,2433,1877,871,0,618,1377
LSM14A.9354,447,271,994,655,411,180,440,591
TRAM1.18236,352,241,973,570,434,0,355,533
TPM3.1192,1841,1062,2420,1538,797,309,820,1183
PTP4A2.1732,883,614,1427,927,495,0,516,872
RHOA.14044,1114,739,2181,1223,618,0,613,969
HNRNPH1.15580,460,198,532,498,315,317,360,469
PTGES3.5022,483,192,634,593,352,38,255,521
CSDE1.1064,764,374,1299,873,681,0,512,935
ENSG00000288663.4285,719,404,926,805,565,400,535,783
PFDN5.4283,719,404,926,805,565,400,535,783
PFDN5.4284,719,404,926,805,565,400,535,783
KHDRBS1.702,524,0,781,711,436,0,284,708
KHDRBS1.703,524,0,781,711,436,0,284,708
CSDE1.1058,935,0,1552,1062,752,149,707,1173
ARPC4.13489,504,0,857,618,385,0,396,592
HIF1A.5692,699,329,832,902,561,179,695,390
TMEM259.9590,669,556,798,805,686,186,696,562
FTH1.3724,4470,2573,5264,6062,5133,0,4562,3187
HNRNPA2B1.17380,665,445,774,673,602,225,392,403
PFDN5.4279,986,617,1360,1340,761,354,595,864
ENSG00000288663.4277,581,349,789,808,381,172,265,471
PFDN5.4278,581,349,789,808,381,172,265,471
PPIA.16916,1212,0,1662,1466,874,0,589,941
PPIA.16915,1212,500,1662,1466,874,186,589,941
PFDN5.4281,403,278,591,533,356,188,321,392
PFDN5.4280,398,267,545,509,354,185,313,387
PFDN5.4282,398,267,545,509,354,185,313,387
GAS5.1321,260,155,432,364,380,138,265,936
GAS5.1324,231,141,323,383,231,58,219,901
GAS5.1328,434,253,693,467,464,220,352,1032
RPS3.3420,4414,2669,6352,5146,4466,3624,3271,9967
RPS3.3419,1542,1011,2320,1926,1462,983,1068,3658
P4HB.8794,632,761,1502,1349,511,94,286,1201
RPLP0.4696,4647,3211,8532,7000,4267,1312,2551,7440
PRKCSH.9240,895,532,1438,1285,751,144,545,1520
EIF4A1.8131,1303,630,1417,1539,673,273,484,1427
NCL.11082,809,436,1021,1133,541,111,281,881
YWHAE.8237,795,334,757,735,520,0,264,984
SENP3-EIF4A1.8132,1446,706,1819,1608,873,264,672,1987
NONO.19230,679,278,830,703,497,123,271,813
CD164.16236,532,125,517,351,269,55,277,613
MACROH2A1.15404,882,295,889,720,264,134,274,1269
RBBP7.19384,465,165,450,534,377,14,258,746
ACTR2.10610,918,277,814,1041,680,0,635,1152
EIF3L.12492,921,465,1442,1264,963,0,821,1906
GAS5.1341,453,301,725,663,364,121,271,903
SNHG29.7764,809,593,1544,1426,727,104,418,2029
CANX.15124,678,271,902,811,587,128,282,1226
CANX.15130,892,292,1070,946,626,106,294,1436
LCP1.5410,590,164,328,430,303,281,370,606
RPL5.945,3505,0,0,4843,3544,0,0,6080
SNHG5.16657,893,571,1075,1332,949,485,421,1463
SNHG5.16656,890,569,1066,1328,946,485,418,1455
SNHG5.16655,890,571,1067,1330,946,485,418,1460
THBS1.6206,381,465,2472,5170,5525,1244,1235,191
CD36.17026,255,86,210,385,733,0,335,523
CD36.17027,0,86,212,326,776,0,332,497
RPS9.9523,0,921,2116,1782,938,1732,737,1456
RPL23.8396,0,2499,7771,6286,5073,0,0,8545
RPSA.13267,0,0,4276,3720,2277,0,1959,4224
PCBP2.4296,0,982,2611,2029,1344,0,1114,1916
HNRNPA3.10071,0,375,927,1009,648,0,478,757
