ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000012817.16"	"KDM5D"	chrY	-	19708243	19708423	19708321	19708423	19707933	19708071	4	194	5			148	74	NA	NA	0.951		NA
5	"ENSG00000012817.16"	"KDM5D"	chrY	-	19715583	19715739	19715614	19715739	19710375	19710472	5	42	13			105	74	NA	NA	0.695		NA
6	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19567349	19567570	19567349	19567482	19587209	19587507	6	6	9			148	74	NA	NA	0.25		NA
8	"ENSG00000176728.10"	"TTTY14"	chrY	-	19044541	19044695	19044661	19044695	19043162	19043346	8	22	0			148	74	NA	NA	1.0		NA
9	"ENSG00000183878.16"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13335562	13336335	9	219	1			148	74	NA	NA	0.991		NA
15	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399802	154399941	15	10375	3			148	74	NA	NA	0.999		NA
16	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	16	3030	9			148	74	NA	NA	0.994		NA
17	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	17	151	1263			148	74	NA	NA	0.056		NA
18	"ENSG00000169057.24"	"MECP2"	chrX	-	154033438	154034174	154033923	154034174	154032458	154032557	18	14	0			148	74	NA	NA	1.0		NA
19	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944155	153944121	153944155	153943894	153943970	19	49	0			116	74	NA	NA	1.0		NA
20	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944418	153944308	153944418	153943894	153943970	20	38	0			148	74	NA	NA	1.0		NA
21	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	21	126	1			148	74	NA	NA	0.984		NA
22	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	22	147	3			92	74	NA	NA	0.975		NA
26	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153775886	153776214	153775886	153775968	153776355	153776459	26	49	1			148	74	NA	NA	0.961		NA
27	"ENSG00000185825.17"	"BCAP31"	chrX	-	153702934	153703058	153703039	153703058	153702006	153702107	27	621	0			148	74	NA	NA	1.0		NA
28	"ENSG00000185825.17"	"BCAP31"	chrX	-	153724260	153724388	153724333	153724388	153723152	153723288	28	1	249			147	74	NA	NA	0.002		NA
30	"ENSG00000147394.19"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	30	1	14			115	74	NA	NA	0.044		NA
