ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19741317	19741488	19735620	19735750	19741734	19741857	2	99	57			148	148	NA	NA	0.635		NA
3	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19741734	19741857	19739527	19739662	19743161	19743239	3	80	88			148	148	NA	NA	0.476		NA
4	"ENSG00000183878.16"	"UTY"	chrY	-	13335562	13336335	13354785	13354833	13326220	13326350	13355002	13355398	4	7	78			122	148	NA	NA	0.098		NA
7	"ENSG00000067646.12"	"ZFY"	chrY	+	2975510	2975654	2976669	2976822	2975094	2975244	2977939	2978080	7	43	64			148	148	NA	NA	0.402		NA
9	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351883	154352021	154350030	154350207	154352180	154352447	9	1185	1670			148	148	NA	NA	0.415		NA
10	"ENSG00000196924.19"	"FLNA"	chrX	-	154351580	154351696	154351883	154352021	154350908	154351041	154352180	154352447	10	1184	1413			148	148	NA	NA	0.456		NA
11	"ENSG00000196924.19"	"FLNA"	chrX	-	154351883	154352021	154352180	154352447	154351580	154351696	154352771	154352924	11	52	1450			148	148	NA	NA	0.035		NA
12	"ENSG00000196924.19"	"FLNA"	chrX	-	154367640	154367738	154367841	154368090	154367396	154367544	154370872	154371203	12	1334	849			148	148	NA	NA	0.611		NA
14	"ENSG00000147394.19"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776	14	8	17			148	148	NA	NA	0.32		NA
15	"ENSG00000063601.17"	"MTMR1"	chrX	+	150712341	150712365	150714478	150714529	150699194	150699300	150718624	150718700	15	16	0			98	125	NA	NA	1.0		NA
19	"ENSG00000063601.17"	"MTMR1"	chrX	+	150750729	150750843	150755688	150755865	150744360	150744453	150762564	150762737	19	40	22			148	148	NA	NA	0.645		NA
20	"ENSG00000171100.16"	"MTM1"	chrX	+	150598591	150598686	150619037	150619139	150596497	150596570	150638942	150639026	20	40	45			148	148	NA	NA	0.471		NA
26	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136879016	136879123	26	7	921			148	148	NA	NA	0.008		NA
27	"ENSG00000134602.16"	"STK26"	chrX	+	132054630	132054861	132063432	132063489	132023507	132023659	132068214	132068323	27	131	54			148	131	NA	NA	0.682		NA
28	"ENSG00000102034.18"	"ELF4"	chrX	-	130069299	130069677	130071039	130071232	130063954	130067525	130071335	130071419	28	179	158			148	148	NA	NA	0.531		NA
29	"ENSG00000188706.13"	"ZDHHC9"	chrX	-	129828980	129829141	129841778	129841956	129823678	129823837	129843695	129843909	29	8	42			148	148	NA	NA	0.16		NA
30	"ENSG00000101972.20"	"STAG2"	chrX	+	124051314	124051394	124056127	124056235	124051120	124051219	124057865	124057977	30	246	227			148	148	NA	NA	0.52		NA
32	"ENSG00000158290.19"	"CUL4B"	chrX	-	120544480	120544643	120545443	120545517	120544113	120544203	120546546	120546616	32	49	33			148	148	NA	NA	0.598		NA
33	"ENSG00000147251.16"	"DOCK11"	chrX	+	118616201	118616240	118618549	118618728	118615599	118615711	118624538	118624655	33	15	190			113	148	NA	NA	0.094		NA
34	"ENSG00000147251.16"	"DOCK11"	chrX	+	118618549	118618728	118624538	118624655	118616201	118616240	118627503	118627579	34	17	103			148	148	NA	NA	0.142		NA
35	"ENSG00000131725.14"	"WDR44"	chrX	+	118436701	118436824	118441367	118441559	118432780	118432894	118442243	118442345	35	32	55			148	148	NA	NA	0.368		NA
36	"ENSG00000101901.12"	"ALG13"	chrX	+	111682131	111682235	111682235	111682294	111681169	111681424	111684964	111685103	36	15	27			148	133	NA	NA	0.333		NA
40	"ENSG00000160219.12"	"GAB3"	chrX	-	154695916	154696019	154697131	154697213	154680131	154680248	154699293	154699513	40	10	7			148	148	NA	NA	0.588		NA
44	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102601463	102601509	102601879	102601977	102599525	102599847	102605481	102605653	44	11	2			120	148	NA	NA	0.872		NA
48	"ENSG00000155008.16"	"APOOL"	chrX	+	85046445	85046550	85051388	85051508	85003876	85003927	85054343	85054398	48	34	42			148	148	NA	NA	0.447		NA
50	"ENSG00000225470.8"	"JPX"	chrX	+	73944583	73944662	73994839	73994961	73944340	73944465	73998767	73998844	50	64	1			148	148	NA	NA	0.985		NA
51	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73994839	73994961	51	52	0			148	145	NA	NA	1.0		NA
52	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73994839	73994961	52	52	0			148	141	NA	NA	1.0		NA
53	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73994839	73994961	53	52	3			148	148	NA	NA	0.945		NA
54	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73998767	73998844	54	52	1			148	145	NA	NA	0.981		NA
55	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73998767	73998844	55	52	1			148	141	NA	NA	0.98		NA
56	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73998767	73998844	56	52	3			148	148	NA	NA	0.945		NA
57	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73998767	73998844	57	52	4			148	148	NA	NA	0.929		NA
58	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73994863	73994961	73944583	73944662	73998767	73998844	58	52	1			148	148	NA	NA	0.981		NA
59	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73999354	74000496	59	52	0			148	141	NA	NA	1.0		NA
60	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73999354	74000496	60	52	3			148	148	NA	NA	0.945		NA
61	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73998767	73998844	73944583	73944662	73999354	74000496	61	52	2			148	148	NA	NA	0.963		NA
79	"ENSG00000147099.21"	"HDAC8"	chrX	-	72490928	72491006	72495155	72495268	72488932	72489041	72567888	72568030	79	25	24			148	148	NA	NA	0.51		NA
80	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72490928	72491006	72568753	72568884	80	47	31			148	148	NA	NA	0.603		NA
81	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572056	72572109	81	32	24			148	148	NA	NA	0.571		NA
82	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843	82	19	2			127	148	NA	NA	0.917		NA
83	"ENSG00000147133.17"	"TAF1"	chrX	+	71388236	71388378	71388737	71388868	71387260	71387461	71389584	71389665	83	51	78			148	148	NA	NA	0.395		NA
85	"ENSG00000184634.17"	"MED12"	chrX	+	71125350	71125495	71125662	71125713	71124975	71125146	71126035	71126154	85	43	74			148	125	NA	NA	0.329		NA
86	"ENSG00000184634.17"	"MED12"	chrX	+	71136878	71137029	71137186	71137383	71136280	71136655	71137557	71137635	86	46	14			148	148	NA	NA	0.767		NA
87	"ENSG00000184634.17"	"MED12"	chrX	+	71136878	71137029	71137186	71137392	71136280	71136655	71137557	71137635	87	46	27			148	148	NA	NA	0.63		NA
88	"ENSG00000184634.17"	"MED12"	chrX	+	71136878	71137029	71137186	71137383	71136280	71136655	71137560	71137635	88	43	3			148	148	NA	NA	0.935		NA
89	"ENSG00000184634.17"	"MED12"	chrX	+	71136878	71137029	71137186	71137392	71136280	71136655	71137560	71137635	89	43	7			148	148	NA	NA	0.86		NA
90	"ENSG00000001497.18"	"LAS1L"	chrX	-	65514822	65514973	65517986	65518465	65512581	65512901	65523559	65523707	90	79	73			148	148	NA	NA	0.52		NA
91	"ENSG00000001497.18"	"LAS1L"	chrX	-	65524055	65524262	65524563	65524614	65523559	65523707	65524964	65525050	91	26	126			125	148	NA	NA	0.196		NA
93	"ENSG00000131089.17"	"ARHGEF9"	chrX	-	63724531	63724711	63754303	63754676	63706257	63706449	63754920	63755078	93	3	16			148	148	NA	NA	0.158		NA
99	"ENSG00000072501.19"	"SMC1A"	chrX	-	53411994	53412253	53414757	53414870	53411760	53411901	53422491	53422654	99	4	28			148	148	NA	NA	0.125		NA
100	"ENSG00000126756.12"	"UXT"	chrX	-	47657182	47657290	47657571	47657639	47652080	47652144	47657781	47657863	100	311	474			142	148	NA	NA	0.406		NA
101	"ENSG00000147050.17"	"KDM6A"	chrX	+	44961283	44961392	44974665	44974715	44873923	44873987	45010960	45011019	101	40	56			148	124	NA	NA	0.374		NA
102	"ENSG00000147050.17"	"KDM6A"	chrX	+	45051708	45051802	45053828	45053955	45037654	45037689	45059005	45059104	102	111	128			148	148	NA	NA	0.464		NA
103	"ENSG00000147050.17"	"KDM6A"	chrX	+	45053828	45053955	45059005	45059104	45051708	45051802	45059246	45059466	103	144	153			148	148	NA	NA	0.485		NA
104	"ENSG00000147050.17"	"KDM6A"	chrX	+	45060021	45060156	45060608	45060764	45059246	45059466	45061323	45061419	104	8	153			148	148	NA	NA	0.05		NA
105	"ENSG00000069509.6"	"FUNDC1"	chrX	-	44527236	44527365	44538466	44538542	44523638	44524275	44541944	44542101	105	36	32			148	148	NA	NA	0.529		NA
107	"ENSG00000147044.23"	"CASK"	chrX	-	41787177	41787283	41853114	41853227	41745523	41745601	41922929	41923007	107	33	31			148	148	NA	NA	0.516		NA
108	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337690	41339083	41340635	41340814	41337407	41337465	41341483	41341616	108	332	9			148	148	NA	NA	0.974		NA
109	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339035	41339083	41340635	41340814	41337407	41337465	41341483	41341616	109	698	9			122	148	NA	NA	0.989		NA
110	"ENSG00000215301.11"	"DDX3X"	chrX	+	41339038	41339083	41340635	41340814	41337407	41337465	41341483	41341616	110	306	9			119	148	NA	NA	0.977		NA
111	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41342836	41343215	41343351	41341483	41342653	41343736	41343822	111	562	478			148	148	NA	NA	0.54		NA
112	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41342836	41343215	41343351	41342494	41342653	41344029	41344128	112	556	12			148	148	NA	NA	0.979		NA
113	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41343351	41343736	41343822	41342736	41342836	41344029	41344128	113	410	325			148	148	NA	NA	0.558		NA
114	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41343822	41344029	41344128	41343215	41343351	41344238	41344399	114	475	501			148	148	NA	NA	0.487		NA
115	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347012	41347314	41347451	41346228	41346622	41347639	41347694	115	650	354			148	148	NA	NA	0.647		NA
116	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347012	41347311	41347451	41346493	41346622	41347639	41349867	116	650	388			148	148	NA	NA	0.626		NA
117	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347012	41347314	41347454	41346504	41346622	41347639	41349884	117	650	3			148	148	NA	NA	0.995		NA
118	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347639	41347915	41346504	41346622	41357832	41358000	118	39	7			148	148	NA	NA	0.848		NA
119	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347639	41347915	41346504	41346622	41364273	41364472	119	37	7			148	148	NA	NA	0.841		NA
120	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347639	41347915	41346858	41347012	41357832	41358000	120	280	37			148	148	NA	NA	0.883		NA
121	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41347451	41347639	41347915	41346858	41347012	41364273	41364472	121	278	37			148	148	NA	NA	0.883		NA
122	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347639	41347915	41357832	41357939	41347311	41347451	41364273	41364472	122	351	2			148	148	NA	NA	0.994		NA
123	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347639	41347915	41357832	41358000	41347311	41347451	41364273	41364472	123	351	2			148	148	NA	NA	0.994		NA
124	"ENSG00000124486.14"	"USP9X"	chrX	+	41186516	41186642	41187991	41188117	41184396	41184675	41189308	41189475	124	269	274			148	148	NA	NA	0.495		NA
125	"ENSG00000124486.14"	"USP9X"	chrX	+	41201059	41201280	41205302	41205493	41198527	41198750	41210508	41210682	125	326	163			148	148	NA	NA	0.667		NA
126	"ENSG00000124486.14"	"USP9X"	chrX	+	41219101	41219231	41223216	41223402	41218371	41218597	41224741	41224962	126	171	291			148	148	NA	NA	0.37		NA
130	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38287245	38287864	38288041	38276586	38276772	38290958	38291024	130	4	10			148	148	NA	NA	0.286		NA
131	"ENSG00000156313.15"	"RPGR"	chrX	-	38304634	38304790	38310614	38310773	38301246	38301371	38317315	38317465	131	5	16			148	148	NA	NA	0.238		NA
132	"ENSG00000156313.15"	"RPGR"	chrX	-	38321026	38321089	38322852	38322945	38318828	38318987	38323398	38323524	132	7	5			148	137	NA	NA	0.564		NA
133	"ENSG00000156313.15"	"RPGR"	chrX	-	38322852	38322945	38323398	38323524	38321026	38321089	38327339	38327515	133	5	8			148	148	NA	NA	0.385		NA
134	"ENSG00000184831.14"	"APOO"	chrX	-	23840312	23840377	23868592	23868688	23833366	23833510	23878914	23879034	134	4	16			148	139	NA	NA	0.19		NA
135	"ENSG00000044446.12"	"PHKA2"	chrX	-	18943709	18943808	18945077	18945158	18941528	18941675	18948743	18948826	135	57	61			148	148	NA	NA	0.483		NA
136	"ENSG00000102054.18"	"RBBP7"	chrX	-	16852415	16852550	16852550	16852628	16852045	16852122	16852748	16852875	136	534	5			148	148	NA	NA	0.991		NA
137	"ENSG00000047230.15"	"CTPS2"	chrX	-	16670579	16670674	16678361	16678450	16667661	16667724	16683093	16683226	137	30	30			148	148	NA	NA	0.5		NA
138	"ENSG00000165195.16"	"PIGA"	chrX	-	15325019	15325152	15325913	15326046	15324664	15324871	15331589	15331992	138	20	94			148	148	NA	NA	0.175		NA
141	"ENSG00000046651.16"	"OFD1"	chrX	+	13763744	13763855	13767126	13767284	13762343	13762444	13768053	13768224	141	11	37			148	148	NA	NA	0.229		NA
142	"ENSG00000101849.18"	"TBL1X"	chrX	+	9654214	9654322	9684042	9684188	9640272	9640360	9688016	9688275	142	25	28			148	148	NA	NA	0.472		NA
143	"ENSG00000006757.12"	"PNPLA4"	chrX	-	7922003	7922098	7925939	7926132	7921712	7921848	7927685	7927739	143	2	17			148	148	NA	NA	0.105		NA
144	"ENSG00000183943.6"	"PRKX"	chrX	-	3626418	3626514	3655148	3655412	3621258	3621316	3670178	3670215	144	48	220			148	148	NA	NA	0.179		NA
146	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50388985	50389111	50391866	50392015	50372071	50372150	50393892	50394135	146	7	4			148	148	NA	NA	0.636		NA
147	"ENSG00000184164.15"	"CRELD2"	chr22	+	49923233	49923317	49924359	49924455	49922611	49922707	49925416	49925557	147	22	33			148	148	NA	NA	0.4		NA
152	"ENSG00000054611.14"	"TBC1D22A"	chr22	+	46797443	46797620	46878652	46878723	46793500	46793841	46891265	46891394	152	23	53			148	145	NA	NA	0.298		NA
153	"ENSG00000054611.14"	"TBC1D22A"	chr22	+	46913333	46913446	46974289	46974399	46912073	46912188	46997633	46997709	153	2	68			148	148	NA	NA	0.029		NA
155	"ENSG00000248405.10"	"PRR5-ARHGAP8"	chr22	+	44802076	44802164	44808306	44808438	44786456	44786606	44814671	44814758	155	8	9			148	148	NA	NA	0.471		NA
156	"ENSG00000188677.15"	"PARVB"	chr22	+	44119037	44119140	44131486	44131627	44100052	44100123	44132893	44132965	156	204	225			148	148	NA	NA	0.476		NA
157	"ENSG00000188677.15"	"PARVB"	chr22	+	44131486	44131627	44132893	44133009	44119037	44119140	44136459	44136518	157	180	224			148	148	NA	NA	0.446		NA
158	"ENSG00000188677.15"	"PARVB"	chr22	+	44147860	44147922	44151482	44151551	44140123	44140143	44157981	44158083	158	168	222			136	143	NA	NA	0.443		NA
159	"ENSG00000100347.15"	"SAMM50"	chr22	+	43963069	43963226	43963285	43963396	43955441	43955598	43964451	43964553	159	0	183			148	148	NA	NA	0.0		NA
160	"ENSG00000100347.15"	"SAMM50"	chr22	+	43973235	43973323	43976054	43976183	43972870	43973001	43976749	43976821	160	85	86			148	148	NA	NA	0.497		NA
162	"ENSG00000100266.19"	"PACSIN2"	chr22	-	42893456	42893613	42912020	42912157	42890946	42891182	43015020	43015149	162	43	60			148	148	NA	NA	0.417		NA
164	"ENSG00000100243.22"	"CYB5R3"	chr22	-	42627604	42627688	42628151	42628281	42627303	42627389	42630881	42630988	164	468	309			148	148	NA	NA	0.602		NA
165	"ENSG00000100243.22"	"CYB5R3"	chr22	-	42631377	42631450	42636584	42636598	42630881	42630988	42636714	42636846	165	1	611			88	147	NA	NA	0.003		NA
166	"ENSG00000100243.22"	"CYB5R3"	chr22	-	42631377	42631468	42636584	42636598	42630881	42630988	42636714	42636846	166	1	388			88	148	NA	NA	0.004		NA
167	"ENSG00000100401.20"	"RANGAP1"	chr22	-	41257947	41258106	41261445	41261580	41256710	41256824	41264663	41264843	167	92	112			148	148	NA	NA	0.451		NA
168	"ENSG00000100393.14"	"EP300"	chr22	+	41141047	41141222	41146738	41146816	41140139	41140257	41147836	41147946	168	448	247			148	148	NA	NA	0.645		NA
169	"ENSG00000100393.14"	"EP300"	chr22	+	41168720	41168867	41169502	41169616	41168448	41168599	41170405	41170571	169	302	295			148	148	NA	NA	0.506		NA
170	"ENSG00000100393.14"	"EP300"	chr22	+	41169502	41169616	41170405	41170571	41168720	41168867	41172498	41172663	170	268	246			148	148	NA	NA	0.521		NA
171	"ENSG00000100393.14"	"EP300"	chr22	+	41170405	41170571	41172498	41172663	41169502	41169616	41173622	41173784	171	297	232			148	148	NA	NA	0.561		NA
172	"ENSG00000100380.15"	"ST13"	chr22	-	40829625	40829674	40830839	40830956	40827095	40827229	40832568	40832671	172	228	379			148	123	NA	NA	0.333		NA
173	"ENSG00000100380.15"	"ST13"	chr22	-	40829625	40829674	40832568	40832671	40827095	40827229	40835559	40835670	173	463	344			148	123	NA	NA	0.528		NA
174	"ENSG00000100380.15"	"ST13"	chr22	-	40829625	40829674	40830839	40830956	40827149	40827229	40835559	40835905	174	1	344			148	123	NA	NA	0.002		NA
176	"ENSG00000100372.15"	"SLC25A17"	chr22	-	40792524	40792676	40794513	40794580	40779008	40779125	40799022	40799083	176	16	17			141	148	NA	NA	0.497		NA
177	"ENSG00000196588.21"	"MRTFA"	chr22	-	40423535	40423685	40424205	40424381	40420846	40421100	40429605	40429767	177	122	45			148	148	NA	NA	0.731		NA
178	"ENSG00000239900.14"	"ADSL"	chr22	+	40353072	40353117	40353332	40353419	40349831	40350035	40354247	40354327	178	177	0			119	148	NA	NA	1.0		NA
179	"ENSG00000239900.14"	"ADSL"	chr22	+	40353072	40353117	40354247	40354327	40349831	40350035	40358863	40359035	179	68	136			119	148	NA	NA	0.383		NA
