ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154438522	154438630	154437153	154437299	13	6	32			121	74	NA	NA	0.103		NA
14	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154400463	154400626	154399486	154399594	14	3598	2			148	74	NA	NA	0.999		NA
15	"ENSG00000196924.19"	"FLNA"	chrX	-	154353000	154353221	154353000	154353204	154353295	154353457	15	12	601			91	74	NA	NA	0.016		NA
16	"ENSG00000196924.19"	"FLNA"	chrX	-	154365135	154365259	154365135	154365257	154365348	154365486	16	570	0			76	74	NA	NA	1.0		NA
17	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366307	154366470	17	734	3			148	74	NA	NA	0.992		NA
18	"ENSG00000169057.24"	"MECP2"	chrX	-	154056940	154057254	154056940	154057179	154057742	154057842	18	32	3			148	74	NA	NA	0.842		NA
20	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058522	154092183	154092307	20	18	0			118	74	NA	NA	1.0		NA
21	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058548	154092183	154092307	21	11	0			92	74	NA	NA	1.0		NA
22	"ENSG00000172534.14"	"HCFC1"	chrX	-	153951840	153952161	153951840	153952158	153952513	153952958	22	9	37			77	74	NA	NA	0.189		NA
23	"ENSG00000172534.14"	"HCFC1"	chrX	-	153952513	153953090	153952513	153952958	153953606	153953770	23	20	29			148	74	NA	NA	0.256		NA
24	"ENSG00000102032.13"	"RENBP"	chrX	-	153942854	153943079	153942854	153943034	153943545	153943718	24	12	0			119	74	NA	NA	1.0		NA
29	"ENSG00000171100.16"	"MTM1"	chrX	+	150649715	150649901	150649776	150649901	150645682	150645871	29	24	0			135	74	NA	NA	1.0		NA
30	"ENSG00000171100.16"	"MTM1"	chrX	+	150659663	150659756	150659670	150659756	150657820	150658027	30	20	0			81	74	NA	NA	1.0		NA
32	"ENSG00000197620.11"	"EOLA1"	chrX	+	149545601	149545883	149545767	149545883	149545367	149545500	32	23	0			148	74	NA	NA	1.0		NA
33	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136877914	136877964	136879016	136879123	33	275	4			148	74	NA	NA	0.972		NA
34	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879158	136879016	136879123	136879318	136879453	34	12	129			109	74	NA	NA	0.059		NA
35	"ENSG00000156504.17"	"PABIR2"	chrX	-	134785885	134785950	134785885	134785947	134787471	134787533	35	15	19			77	74	NA	NA	0.431		NA
37	"ENSG00000156531.18"	"PHF6"	chrX	+	134413487	134413657	134413490	134413657	134393908	134393952	37	0	17			77	74	NA	NA	0.0		NA
40	"ENSG00000102034.18"	"ELF4"	chrX	-	130081255	130081539	130081255	130081312	130110619	130110716	40	33	2			148	74	NA	NA	0.892		NA
41	"ENSG00000125676.20"	"THOC2"	chrX	-	123600568	123603748	123600568	123601338	123610917	123610963	41	10	15			148	74	NA	NA	0.25		NA
42	"ENSG00000125676.20"	"THOC2"	chrX	-	123610917	123610963	123610917	123610957	123611439	123611516	42	24	9			80	74	NA	NA	0.712		NA
43	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620906	123620965	43	16	12			148	74	NA	NA	0.4		NA
44	"ENSG00000125676.20"	"THOC2"	chrX	-	123696720	123696842	123696720	123696835	123697680	123697751	44	55	1			81	74	NA	NA	0.98		NA
45	"ENSG00000158290.19"	"CUL4B"	chrX	-	120543726	120543964	120543726	120543809	120544113	120544203	45	4	59			148	74	NA	NA	0.033		NA
46	"ENSG00000158290.19"	"CUL4B"	chrX	-	120544480	120544643	120544480	120544550	120545443	120545517	46	70	0			148	74	NA	NA	1.0		NA
48	"ENSG00000077721.16"	"UBE2A"	chrX	+	119574900	119574981	119574907	119574981	119574562	119574755	48	18	4			81	74	NA	NA	0.804		NA
49	"ENSG00000077721.16"	"UBE2A"	chrX	+	119582587	119582676	119582596	119582676	119581506	119581596	49	98	0			83	74	NA	NA	1.0		NA
51	"ENSG00000131725.14"	"WDR44"	chrX	+	118443559	118443687	118443583	118443687	118442564	118442680	51	22	0			98	74	NA	NA	1.0		NA
52	"ENSG00000101901.12"	"ALG13"	chrX	+	111682131	111682294	111682235	111682294	111681169	111681424	52	74	3			148	74	NA	NA	0.925		NA
53	"ENSG00000160219.12"	"GAB3"	chrX	-	154713206	154713426	154713206	154713423	154716025	154716329	53	21	2			77	74	NA	NA	0.91		NA
57	"ENSG00000147224.13"	"PRPS1"	chrX	+	107640901	107641000	107640903	107641000	107639294	107639478	57	70	1			76	74	NA	NA	0.986		NA
58	"ENSG00000147224.13"	"PRPS1"	chrX	+	107645176	107645350	107645197	107645350	107642365	107642490	58	59	0			95	74	NA	NA	1.0		NA
62	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103684680	103684729	62	27	0			94	74	NA	NA	1.0		NA
63	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678600	103684680	103684729	63	66	0			125	74	NA	NA	1.0		NA
64	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103684680	103684729	64	39	0			105	74	NA	NA	1.0		NA
65	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678600	103685170	103685260	65	80	4			125	74	NA	NA	0.922		NA
72	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101895813	101895882	101895813	101895879	101897867	101898042	72	41	23			77	74	NA	NA	0.631		NA
75	"ENSG00000126953.8"	"TIMM8A"	chrX	-	101345660	101348401	101345660	101346660	101348532	101348742	75	1	11			148	74	NA	NA	0.043		NA
84	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998953	74000496	73994839	73994961	84	13	0			148	74	NA	NA	1.0		NA
85	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73999354	74000496	73994839	73994961	85	20	0			148	74	NA	NA	1.0		NA
86	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73999608	74000496	73994839	73994961	86	32	0			148	74	NA	NA	1.0		NA
87	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999669	73999354	73999669	73994839	73994961	87	11	0			148	74	NA	NA	1.0		NA
88	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	74000496	73999608	74000496	73994839	73994961	88	23	0			148	74	NA	NA	1.0		NA
89	"ENSG00000225470.8"	"JPX"	chrX	+	73999354	74000496	73999608	74000496	73994839	73994961	89	23	0			148	74	NA	NA	1.0		NA
90	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999695	73999092	73999695	73998767	73998844	90	14	0			148	74	NA	NA	1.0		NA
91	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	74000205	73999608	74000205	73998767	73998844	91	34	0			148	74	NA	NA	1.0		NA
