ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19741317	19741488	19735620	19735750	19741734	19741857	2	153	109			148	148	NA	NA	0.584		NA
3	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19741734	19741857	19739527	19739662	19743161	19743239	3	150	149			148	148	NA	NA	0.502		NA
4	"ENSG00000183878.16"	"UTY"	chrY	-	13335562	13336335	13354785	13354833	13326220	13326350	13355002	13355398	4	11	138			122	148	NA	NA	0.088		NA
5	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13359087	13359222	13357876	13357969	13359766	13359986	5	5	10			148	148	NA	NA	0.333		NA
6	"ENSG00000183878.16"	"UTY"	chrY	-	13414734	13414793	13449016	13449066	13410992	13411113	13470120	13470229	6	76	82			124	133	NA	NA	0.499		NA
7	"ENSG00000183878.16"	"UTY"	chrY	-	13449016	13449066	13470120	13470229	13414734	13414793	13479253	13479317	7	122	56			148	124	NA	NA	0.646		NA
8	"ENSG00000099725.14"	"PRKY"	chrY	+	7325905	7326169	7341114	7341234	7303936	7304105	7356134	7356230	8	35	26			148	148	NA	NA	0.574		NA
10	"ENSG00000067646.12"	"ZFY"	chrY	+	2975510	2975654	2976669	2976822	2975094	2975244	2977939	2978080	10	69	83			148	148	NA	NA	0.454		NA
12	"ENSG00000155962.13"	"CLIC2"	chrX	-	155279148	155279330	155279961	155280068	155276210	155278064	155298784	155298910	12	42	68			148	148	NA	NA	0.382		NA
13	"ENSG00000147403.18"	"RPL10"	chrX	+	154399486	154399594	154399802	154399941	154399337	154399396	154400463	154400626	13	6271	11136			148	148	NA	NA	0.36		NA
14	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365744	154365801	154365135	154365259	154366023	154366224	14	4	2983			131	148	NA	NA	0.002		NA
