ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19741317	19741488	19735620	19735750	19741734	19741857	2	115	93			148	148	NA	NA	0.553		NA
3	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19741734	19741857	19735620	19735750	19743161	19743239	3	117	93			148	148	NA	NA	0.557		NA
4	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19741734	19741857	19739527	19739662	19743161	19743239	4	117	113			148	148	NA	NA	0.509		NA
5	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19587209	19587507	19589520	19589612	19567381	19567482	19590082	19590423	5	29	24			148	148	NA	NA	0.547		NA
6	"ENSG00000183878.16"	"UTY"	chrY	-	13334217	13334340	13335562	13336335	13326220	13326350	13355002	13355398	6	96	4			148	148	NA	NA	0.96		NA
7	"ENSG00000183878.16"	"UTY"	chrY	-	13334217	13334340	13354785	13354833	13326220	13326350	13355002	13355398	7	15	4			122	148	NA	NA	0.82		NA
8	"ENSG00000183878.16"	"UTY"	chrY	-	13335562	13336335	13354785	13354833	13326220	13326350	13355002	13355398	8	15	96			122	148	NA	NA	0.159		NA
9	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358553	13359087	13359222	13357876	13357969	13359766	13359986	9	24	7			148	148	NA	NA	0.774		NA
10	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13359087	13359222	13357876	13357969	13359766	13359986	10	24	9			148	148	NA	NA	0.727		NA
12	"ENSG00000067646.12"	"ZFY"	chrY	+	2975510	2975654	2976669	2976822	2975094	2975244	2977939	2978080	12	61	113			148	148	NA	NA	0.351		NA
14	"ENSG00000185973.12"	"TMLHE"	chrX	-	155524455	155524632	155545095	155545277	155513985	155514265	155612791	155612877	14	25	42			148	148	NA	NA	0.373		NA
15	"ENSG00000155962.13"	"CLIC2"	chrX	-	155279148	155279330	155279961	155280068	155276210	155278064	155298784	155298910	15	20	31			148	148	NA	NA	0.392		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154399486	154399594	154399802	154399941	154399337	154399396	154400463	154400626	16	3713	7110			148	148	NA	NA	0.343		NA
17	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365744	154365801	154365135	154365259	154366023	154366224	17	2	1613			131	148	NA	NA	0.001		NA
18	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154365801	154366023	154366224	154365348	154365486	154366307	154366470	18	1705	21			148	131	NA	NA	0.986		NA
19	"ENSG00000147394.19"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776	19	10	4			148	148	NA	NA	0.714		NA
20	"ENSG00000063601.17"	"MTMR1"	chrX	+	150712341	150712365	150714478	150714529	150699194	150699300	150718624	150718700	20	13	0			98	125	NA	NA	1.0		NA
24	"ENSG00000171100.16"	"MTM1"	chrX	+	150598591	150598686	150619037	150619139	150596497	150596570	150638942	150639026	24	31	22			148	148	NA	NA	0.585		NA
26	"ENSG00000010404.18"	"IDS"	chrX	-	149498106	149498307	149499228	149499354	149496345	149496516	149500948	149501037	26	2	361			148	148	NA	NA	0.006		NA
30	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136877914	136878086	30	500	729			148	148	NA	NA	0.407		NA
31	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136879016	136879123	31	6	728			148	148	NA	NA	0.008		NA
32	"ENSG00000147274.14"	"RBMX"	chrX	-	136876502	136876655	136877914	136878086	136875470	136875585	136879016	136879123	32	500	508			148	148	NA	NA	0.496		NA
33	"ENSG00000134602.16"	"STK26"	chrX	+	132054630	132054861	132063432	132063489	132023507	132023659	132068214	132068323	33	109	77			148	131	NA	NA	0.556		NA
34	"ENSG00000101972.20"	"STAG2"	chrX	+	124051314	124051394	124056127	124056235	124051120	124051219	124057865	124057977	34	163	184			148	148	NA	NA	0.47		NA
35	"ENSG00000101972.20"	"STAG2"	chrX	+	124066355	124066436	124068563	124068656	124066174	124066262	124071148	124071323	35	182	172			148	148	NA	NA	0.514		NA
37	"ENSG00000158290.19"	"CUL4B"	chrX	-	120544480	120544643	120545443	120545517	120544113	120544203	120546546	120546616	37	75	85			148	148	NA	NA	0.469		NA
38	"ENSG00000147251.16"	"DOCK11"	chrX	+	118681057	118681248	118681693	118681794	118680481	118680692	118683078	118683217	38	116	105			148	148	NA	NA	0.525		NA
39	"ENSG00000131725.14"	"WDR44"	chrX	+	118436701	118436824	118441367	118441559	118432780	118432894	118442243	118442345	39	16	26			148	148	NA	NA	0.381		NA
40	"ENSG00000101901.12"	"ALG13"	chrX	+	111682131	111682235	111682235	111682294	111681169	111681424	111684964	111685103	40	22	45			148	133	NA	NA	0.305		NA
41	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725	41	2	10			148	148	NA	NA	0.167		NA
42	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111711674	111711725	111684964	111685103	111712483	111712530	42	2	10			148	125	NA	NA	0.145		NA
49	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260	49	20	290			123	148	NA	NA	0.077		NA
52	"ENSG00000271147.8"	"ARMCX5-GPRASP2"	chrX	+	102601463	102601509	102601879	102601977	102599525	102599847	102605481	102605653	52	11	4			120	148	NA	NA	0.772		NA
54	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101887197	101887304	101892704	101892754	101886631	101886731	101894453	101894904	54	1	10			124	148	NA	NA	0.107		NA
58	"ENSG00000225470.8"	"JPX"	chrX	+	73944583	73944662	73994839	73994961	73944340	73944465	73998767	73998844	58	48	13			148	148	NA	NA	0.787		NA
59	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73994839	73994961	59	36	0			148	145	NA	NA	1.0		NA
60	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73994839	73994961	60	36	1			148	141	NA	NA	0.972		NA
61	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73994839	73994961	61	36	1			148	148	NA	NA	0.973		NA
62	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73998767	73998844	62	36	0			148	145	NA	NA	1.0		NA
