ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154438522	154438630	154437153	154437299	13	6	41			121	74	NA	NA	0.082		NA
14	"ENSG00000196924.19"	"FLNA"	chrX	-	154353000	154353221	154353000	154353204	154353295	154353457	14	9	358			91	74	NA	NA	0.02		NA
15	"ENSG00000196924.19"	"FLNA"	chrX	-	154365135	154365259	154365135	154365257	154365348	154365486	15	295	4			76	74	NA	NA	0.986		NA
16	"ENSG00000169057.24"	"MECP2"	chrX	-	154056940	154057254	154056940	154057179	154057742	154057842	16	16	4			148	74	NA	NA	0.667		NA
17	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058548	154058398	154058522	154092183	154092307	17	15	0			100	74	NA	NA	1.0		NA
18	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058522	154092183	154092307	18	61	0			118	74	NA	NA	1.0		NA
19	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058548	154092183	154092307	19	46	0			92	74	NA	NA	1.0		NA
20	"ENSG00000172534.14"	"HCFC1"	chrX	-	153951840	153952161	153951840	153952158	153952513	153952958	20	2	28			77	74	NA	NA	0.064		NA
21	"ENSG00000172534.14"	"HCFC1"	chrX	-	153952513	153953090	153952513	153952958	153953606	153953770	21	12	33			148	74	NA	NA	0.154		NA
22	"ENSG00000102032.13"	"RENBP"	chrX	-	153942854	153943079	153942854	153943034	153943545	153943718	22	50	0			119	74	NA	NA	1.0		NA
29	"ENSG00000197021.9"	"EOLA2"	chrX	-	149934376	149934573	149934376	149934568	149937432	149937480	29	15	0			79	74	NA	NA	1.0		NA
30	"ENSG00000197620.11"	"EOLA1"	chrX	+	149545601	149545883	149545767	149545883	149545367	149545500	30	36	0			148	74	NA	NA	1.0		NA
31	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136877914	136877964	136879016	136879123	31	120	0			148	74	NA	NA	1.0		NA
32	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879158	136879016	136879123	136879318	136879453	32	0	42			109	74	NA	NA	0.0		NA
33	"ENSG00000156504.17"	"PABIR2"	chrX	-	134785885	134785950	134785885	134785947	134787471	134787533	33	8	7			77	74	NA	NA	0.523		NA
40	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620906	123620965	40	7	3			148	74	NA	NA	0.538		NA
43	"ENSG00000158290.19"	"CUL4B"	chrX	-	120544480	120544643	120544480	120544550	120545443	120545517	43	19	0			148	74	NA	NA	1.0		NA
