ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	58	26			148	74	NA	NA	0.527		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	17	139			148	74	NA	NA	0.058		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	61	2029			148	74	NA	NA	0.015		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	57	2250			148	74	NA	NA	0.013		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	50	652			148	74	NA	NA	0.037		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	20	99	298			148	74	NA	NA	0.142		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	21	136	4			148	74	NA	NA	0.944		NA
22	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944418	153944079	153944155	153944308	153944418	22	14	5			148	74	NA	NA	0.583		NA
23	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	23	48	9			148	74	NA	NA	0.727		NA
24	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	24	3	41			148	74	NA	NA	0.035		NA
26	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213	26	24	4			148	74	NA	NA	0.75		NA
27	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784024	153784120	153784213	27	24	0			148	74	NA	NA	1.0		NA
29	"ENSG00000063587.15"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926	29	77	0			148	74	NA	NA	1.0		NA
40	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	40	29	20			148	74	NA	NA	0.42		NA
41	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	41	3	42			148	74	NA	NA	0.034		NA
45	"ENSG00000156531.18"	"PHF6"	chrX	+	134425200	134428768	134425200	134425330	134426161	134428768	45	10	0			148	74	NA	NA	1.0		NA
46	"ENSG00000102034.18"	"ELF4"	chrX	-	130081255	130081539	130081255	130081312	130081436	130081539	46	48	0			148	74	NA	NA	1.0		NA
48	"ENSG00000158290.19"	"CUL4B"	chrX	-	120538123	120538770	120538123	120538209	120538659	120538770	48	8	3			148	74	NA	NA	0.571		NA
50	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	50	36	0			148	74	NA	NA	1.0		NA
51	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	51	12	3			129	74	NA	NA	0.696		NA
53	"ENSG00000231728.5"	"TMSB15B-AS1"	chrX	-	103918408	103919080	103918408	103918460	103918831	103919080	53	14	0			148	74	NA	NA	1.0		NA
54	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	54	10	0			148	74	NA	NA	1.0		NA
58	"ENSG00000225470.8"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662	58	0	23			148	74	NA	NA	0.0		NA
59	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	59	48	2			148	74	NA	NA	0.923		NA
60	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669	60	42	9			148	74	NA	NA	0.7		NA
61	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496	61	15	0			148	74	NA	NA	1.0		NA
65	"ENSG00000147162.14"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	65	90	0			148	74	NA	NA	1.0		NA
66	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423239	71423973	71424066	66	26	2			148	74	NA	NA	0.867		NA
67	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423264	71423973	71424066	67	24	0			148	74	NA	NA	1.0		NA
68	"ENSG00000147133.17"	"TAF1"	chrX	+	71423116	71424066	71423116	71423239	71424016	71424066	68	22	0			148	74	NA	NA	1.0		NA
69	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148206	71147549	71147627	71148062	71148206	69	18	2			148	74	NA	NA	0.818		NA
70	"ENSG00000196338.15"	"NLGN3"	chrX	+	71147549	71148905	71147549	71148206	71148845	71148905	70	14	0			148	74	NA	NA	1.0		NA
71	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124158	71124388	71	21	30			148	74	NA	NA	0.259		NA
72	"ENSG00000184634.17"	"MED12"	chrX	+	71123593	71124388	71123593	71123720	71124278	71124388	72	45	0			148	74	NA	NA	1.0		NA
73	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127847	71128120	73	50	0			148	74	NA	NA	1.0		NA
74	"ENSG00000184634.17"	"MED12"	chrX	+	71127335	71128120	71127335	71127467	71127892	71128120	74	38	7			148	74	NA	NA	0.731		NA
75	"ENSG00000184634.17"	"MED12"	chrX	+	71128295	71129215	71128295	71128440	71128597	71129215	75	16	57			148	74	NA	NA	0.123		NA
76	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128718	71129113	71129215	76	17	23			148	74	NA	NA	0.27		NA
77	"ENSG00000184634.17"	"MED12"	chrX	+	71128597	71129215	71128597	71128853	71129113	71129215	77	18	0			148	74	NA	NA	1.0		NA
78	"ENSG00000184634.17"	"MED12"	chrX	+	71129113	71129429	71129113	71129215	71129315	71129429	78	55	14			148	74	NA	NA	0.663		NA
79	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130011	71130214	79	37	0			148	74	NA	NA	1.0		NA
80	"ENSG00000184634.17"	"MED12"	chrX	+	71129679	71130214	71129679	71129855	71130034	71130214	80	35	37			148	74	NA	NA	0.321		NA
81	"ENSG00000184634.17"	"MED12"	chrX	+	71132072	71132538	71132072	71132206	71132376	71132538	81	30	11			148	74	NA	NA	0.577		NA
82	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137383	71137557	71137635	82	16	2			148	74	NA	NA	0.8		NA
83	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137557	71137635	83	20	6			148	74	NA	NA	0.625		NA
84	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137383	71137560	71137635	84	16	1			148	74	NA	NA	0.889		NA
85	"ENSG00000184634.17"	"MED12"	chrX	+	71137186	71137635	71137186	71137392	71137560	71137635	85	20	0			148	74	NA	NA	1.0		NA
86	"ENSG00000184634.17"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943	86	38	0			148	74	NA	NA	1.0		NA
87	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141370	71141882	71141964	87	22	0			148	74	NA	NA	1.0		NA
88	"ENSG00000184634.17"	"MED12"	chrX	+	71141229	71141964	71141229	71141414	71141882	71141964	88	21	0			148	74	NA	NA	1.0		NA
89	"ENSG00000147168.13"	"IL2RG"	chrX	-	71110155	71110688	71110155	71110295	71110503	71110688	89	49	76			148	74	NA	NA	0.244		NA
92	"ENSG00000001497.18"	"LAS1L"	chrX	-	65517986	65522285	65517986	65518073	65520701	65522285	92	53	0			148	74	NA	NA	1.0		NA
93	"ENSG00000001497.18"	"LAS1L"	chrX	-	65517986	65522285	65517986	65518465	65520701	65522285	93	14	0			148	74	NA	NA	1.0		NA
94	"ENSG00000001497.18"	"LAS1L"	chrX	-	65520701	65522285	65520701	65520817	65521147	65522285	94	58	0			148	74	NA	NA	1.0		NA
95	"ENSG00000001497.18"	"LAS1L"	chrX	-	65520701	65523707	65520701	65520817	65523559	65523707	95	51	0			148	74	NA	NA	1.0		NA
96	"ENSG00000001497.18"	"LAS1L"	chrX	-	65522430	65523707	65522430	65522493	65523559	65523707	96	20	5			148	74	NA	NA	0.667		NA
97	"ENSG00000001497.18"	"LAS1L"	chrX	-	65522430	65523707	65522430	65522605	65523559	65523707	97	36	0			148	74	NA	NA	1.0		NA
98	"ENSG00000001497.18"	"LAS1L"	chrX	-	65522430	65523707	65522430	65522926	65523559	65523707	98	16	0			148	74	NA	NA	1.0		NA
99	"ENSG00000001497.18"	"LAS1L"	chrX	-	65523559	65524614	65523559	65523707	65524055	65524614	99	11	55			148	74	NA	NA	0.091		NA
101	"ENSG00000001497.18"	"LAS1L"	chrX	-	65524055	65524614	65524055	65524262	65524563	65524614	101	18	4			148	74	NA	NA	0.692		NA
102	"ENSG00000001497.18"	"LAS1L"	chrX	-	65528259	65529258	65528259	65528369	65528875	65529258	102	30	1			148	74	NA	NA	0.938		NA
103	"ENSG00000001497.18"	"LAS1L"	chrX	-	65528259	65529258	65528259	65528369	65528963	65529258	103	42	0			148	74	NA	NA	1.0		NA
104	"ENSG00000001497.18"	"LAS1L"	chrX	-	65528259	65529258	65528259	65528369	65529211	65529258	104	68	6			148	74	NA	NA	0.85		NA
112	"ENSG00000158578.21"	"ALAS2"	chrX	-	55020319	55020504	55020319	55020329	55020445	55020504	112	34	0			148	74	NA	NA	1.0		NA
116	"ENSG00000172943.21"	"PHF8"	chrX	-	53984913	53985949	53984913	53985227	53985815	53985949	116	14	28			148	74	NA	NA	0.2		NA
117	"ENSG00000126012.13"	"KDM5C"	chrX	-	53198489	53198888	53198489	53198637	53198763	53198888	117	332	101			148	74	NA	NA	0.622		NA
118	"ENSG00000126012.13"	"KDM5C"	chrX	-	53211496	53211906	53211496	53211655	53211786	53211906	118	34	118			148	74	NA	NA	0.126		NA
124	"ENSG00000049768.17"	"FOXP3"	chrX	-	49251333	49251765	49251333	49251483	49251663	49251765	124	29	7			148	74	NA	NA	0.674		NA
125	"ENSG00000049768.17"	"FOXP3"	chrX	-	49256750	49257012	49256750	49256855	49256924	49257012	125	15	1			143	74	NA	NA	0.886		NA
128	"ENSG00000068308.15"	"OTUD5"	chrX	-	48934463	48934867	48934463	48934612	48934695	48934867	128	37	3			148	74	NA	NA	0.86		NA
129	"ENSG00000068308.15"	"OTUD5"	chrX	-	48934463	48934867	48934463	48934612	48934710	48934867	129	30	33			148	74	NA	NA	0.313		NA
130	"ENSG00000126768.12"	"TIMM17B"	chrX	-	48893899	48894225	48893899	48894010	48894096	48894225	130	31	32			148	74	NA	NA	0.326		NA
131	"ENSG00000101940.18"	"WDR13"	chrX	+	48597491	48598037	48597491	48597614	48597957	48598037	131	10	5			148	74	NA	NA	0.5		NA
132	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575814	48576083	132	58	0			148	74	NA	NA	1.0		NA
133	"ENSG00000102317.18"	"RBM3"	chrX	+	48575560	48576083	48575560	48575667	48575921	48576083	133	139	0			148	74	NA	NA	1.0		NA
134	"ENSG00000126759.14"	"CFP"	chrX	-	47628101	47629674	47628101	47628277	47629523	47629674	134	11	8			148	74	NA	NA	0.407		NA
135	"ENSG00000102226.10"	"USP11"	chrX	+	47239350	47239907	47239350	47239481	47239789	47239907	135	11	7			148	74	NA	NA	0.44		NA
136	"ENSG00000102226.10"	"USP11"	chrX	+	47247071	47247419	47247071	47247221	47247303	47247419	136	59	31			148	74	NA	NA	0.488		NA
137	"ENSG00000102226.10"	"USP11"	chrX	+	47247303	47247699	47247303	47247419	47247610	47247699	137	96	12			148	74	NA	NA	0.8		NA
138	"ENSG00000102225.17"	"CDK16"	chrX	+	47225964	47226703	47225964	47226027	47226582	47226703	138	99	3			148	74	NA	NA	0.943		NA
140	"ENSG00000102225.17"	"CDK16"	chrX	+	47226993	47227223	47226993	47227099	47227180	47227223	140	10	38			148	74	NA	NA	0.116		NA
141	"ENSG00000102225.17"	"CDK16"	chrX	+	47228566	47228990	47228566	47228644	47228730	47228990	141	8	53			148	74	NA	NA	0.07		NA
142	"ENSG00000147050.17"	"KDM6A"	chrX	+	45062646	45063817	45062646	45062748	45063421	45063817	142	0	21			148	74	NA	NA	0.0		NA
143	"ENSG00000147050.17"	"KDM6A"	chrX	+	45069578	45070357	45069578	45070028	45070119	45070357	143	22	0			148	74	NA	NA	1.0		NA
144	"ENSG00000147050.17"	"KDM6A"	chrX	+	45069578	45076826	45069578	45070357	45076696	45076826	144	14	11			148	74	NA	NA	0.389		NA
145	"ENSG00000147050.17"	"KDM6A"	chrX	+	45082575	45082789	45082575	45082640	45082714	45082789	145	8	31			148	74	NA	NA	0.114		NA
146	"ENSG00000147050.17"	"KDM6A"	chrX	+	45082575	45083608	45082575	45082789	45083459	45083608	146	0	25			148	74	NA	NA	0.0		NA
147	"ENSG00000147050.17"	"KDM6A"	chrX	+	45106541	45107536	45106541	45106649	45107409	45107536	147	16	0			148	74	NA	NA	1.0		NA
150	"ENSG00000215301.11"	"DDX3X"	chrX	+	41333347	41334297	41333347	41333699	41334125	41334297	150	26	0			148	74	NA	NA	1.0		NA
151	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41337407	41337465	41337690	41339083	151	29	0			148	74	NA	NA	1.0		NA
152	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41337407	41337465	41339035	41339083	152	7	48			148	74	NA	NA	0.068		NA
154	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41337407	41337465	41339038	41339083	154	16	2			148	74	NA	NA	0.8		NA
155	"ENSG00000215301.11"	"DDX3X"	chrX	+	41341483	41342653	41341483	41341616	41342494	41342653	155	6	200			148	74	NA	NA	0.015		NA
156	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342494	41342836	41342494	41342653	41342736	41342836	156	134	361			148	74	NA	NA	0.157		NA
157	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41344128	41343215	41343351	41343736	41344128	157	20	106			148	74	NA	NA	0.086		NA
158	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41344128	41342736	41342836	41344029	41344128	158	16	5			148	74	NA	NA	0.615		NA
159	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343215	41344128	41343215	41343351	41344029	41344128	159	8	3			148	74	NA	NA	0.571		NA
160	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41344128	41343736	41343822	41344029	41344128	160	10	87			148	74	NA	NA	0.054		NA
161	"ENSG00000215301.11"	"DDX3X"	chrX	+	41345179	41345548	41345179	41345324	41345403	41345548	161	8	204			148	74	NA	NA	0.019		NA
163	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346228	41346622	41346228	41346410	41346504	41346622	163	1	202			148	74	NA	NA	0.002		NA
164	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347451	41346858	41347012	41347311	41347451	164	29	58			148	74	NA	NA	0.2		NA
165	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347451	41346858	41347012	41347314	41347451	165	29	38			148	74	NA	NA	0.276		NA
166	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347311	41347451	41347639	41349886	166	15	101			148	74	NA	NA	0.069		NA
168	"ENSG00000156313.15"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287860	38288041	168	0	17			148	74	NA	NA	0.0		NA
172	"ENSG00000102054.18"	"RBBP7"	chrX	-	16845827	16849301	16845827	16845938	16849243	16849301	172	1	12			148	74	NA	NA	0.04		NA
173	"ENSG00000165195.16"	"PIGA"	chrX	-	15324664	15325152	15324664	15324871	15325019	15325152	173	5	28			148	74	NA	NA	0.082		NA
176	"ENSG00000046651.16"	"OFD1"	chrX	+	13753367	13755242	13753367	13753441	13755150	13755242	176	15	10			148	74	NA	NA	0.429		NA
177	"ENSG00000046651.16"	"OFD1"	chrX	+	13757659	13760720	13757659	13757790	13758336	13760720	177	4	18			148	74	NA	NA	0.1		NA
178	"ENSG00000046651.16"	"OFD1"	chrX	+	13757659	13760720	13757659	13757790	13760114	13760720	178	0	13			148	74	NA	NA	0.0		NA
180	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13767126	13767284	13768053	13768224	180	8	10			148	74	NA	NA	0.286		NA
182	"ENSG00000005302.19"	"MSL3"	chrX	+	11759633	11759875	11759633	11759712	11759792	11759875	182	10	7			148	74	NA	NA	0.417		NA
183	"ENSG00000005302.19"	"MSL3"	chrX	+	11760836	11762252	11760836	11760937	11762129	11762252	183	15	0			148	74	NA	NA	1.0		NA
184	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765466	11765729	184	117	4			148	74	NA	NA	0.936		NA
185	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765469	11765729	185	128	0			148	74	NA	NA	1.0		NA
186	"ENSG00000005302.19"	"MSL3"	chrX	+	11763779	11765729	11763779	11763938	11765521	11765729	186	98	0			148	74	NA	NA	1.0		NA
