ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
7	"ENSG00000196924.19"	"FLNA"	chrX	-	154361307	154361570	154361669	154361787	154359989	154360587	154361978	154362148	7	565	478			148	148	NA	NA	0.542		NA
8	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154366023	154366224	154365135	154365259	154366307	154366470	8	647	555			148	148	NA	NA	0.538		NA
9	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154365801	154366023	154366224	154365348	154365486	154366307	154366470	9	1039	30			148	131	NA	NA	0.968		NA
11	"ENSG00000063601.17"	"MTMR1"	chrX	+	150712341	150712365	150714478	150714529	150699194	150699300	150718624	150718700	11	17	0			98	125	NA	NA	1.0		NA
15	"ENSG00000171100.16"	"MTM1"	chrX	+	150598591	150598686	150619037	150619139	150596497	150596570	150638942	150639026	15	20	21			148	148	NA	NA	0.488		NA
20	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136879016	136879123	20	4	317			148	148	NA	NA	0.012		NA
21	"ENSG00000134602.16"	"STK26"	chrX	+	132054630	132054861	132063432	132063489	132023507	132023659	132068214	132068323	21	33	36			148	131	NA	NA	0.448		NA
22	"ENSG00000101972.20"	"STAG2"	chrX	+	124051314	124051394	124056127	124056235	124051120	124051219	124057865	124057977	22	124	120			148	148	NA	NA	0.508		NA
24	"ENSG00000158290.19"	"CUL4B"	chrX	-	120544480	120544643	120545443	120545517	120544113	120544203	120546546	120546616	24	33	57			148	148	NA	NA	0.367		NA
25	"ENSG00000018610.15"	"STEEP1"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385	25	13	9			116	148	NA	NA	0.648		NA
26	"ENSG00000147251.16"	"DOCK11"	chrX	+	118573805	118574018	118578524	118578647	118572322	118572463	118580096	118580179	26	144	104			148	148	NA	NA	0.581		NA
27	"ENSG00000147251.16"	"DOCK11"	chrX	+	118681057	118681248	118683078	118683217	118680481	118680692	118685687	118686139	27	102	40			148	148	NA	NA	0.718		NA
28	"ENSG00000147251.16"	"DOCK11"	chrX	+	118681057	118681248	118683078	118683229	118680481	118680692	118685687	118686163	28	102	1			148	148	NA	NA	0.99		NA
29	"ENSG00000131725.14"	"WDR44"	chrX	+	118436701	118436824	118441367	118441559	118432780	118432894	118442243	118442345	29	12	32			148	148	NA	NA	0.273		NA
30	"ENSG00000101901.12"	"ALG13"	chrX	+	111682131	111682235	111682235	111682294	111681169	111681424	111684964	111685103	30	14	30			148	133	NA	NA	0.295		NA
31	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111708026	111708393	111684964	111685103	111711674	111711725	31	4	8			148	148	NA	NA	0.333		NA
32	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725	32	4	11			148	148	NA	NA	0.267		NA
33	"ENSG00000101901.12"	"ALG13"	chrX	+	111708026	111708393	111708964	111709048	111684964	111685103	111711674	111711725	33	8	11			148	148	NA	NA	0.421		NA
34	"ENSG00000101901.12"	"ALG13"	chrX	+	111727613	111727770	111728184	111728305	111727331	111727445	111730394	111730427	34	33	23			148	148	NA	NA	0.589		NA
39	"ENSG00000166432.16"	"ZMAT1"	chrX	-	101887197	101887304	101892704	101892754	101886631	101886731	101894453	101894904	39	2	14			124	148	NA	NA	0.146		NA
43	"ENSG00000225470.8"	"JPX"	chrX	+	73944583	73944662	73994839	73994961	73944340	73944465	73998767	73998844	43	24	9			148	148	NA	NA	0.727		NA
44	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73994839	73994961	44	23	0			148	145	NA	NA	1.0		NA
45	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73994839	73994961	45	23	0			148	141	NA	NA	1.0		NA
46	"ENSG00000225470.8"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73994839	73994961	46	23	1			148	148	NA	NA	0.958		NA
