ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000012817.16"	"KDM5D"	chrY	-	19706440	19706863	19706440	19706640	19706793	19706863	0	73	59			148	74	NA	NA	0.382		NA
1	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19588369	19589612	19588369	19588650	19589526	19589612	1	40	1			148	74	NA	NA	0.952		NA
3	"ENSG00000176728.10"	"TTTY14"	chrY	-	19041369	19043346	19041369	19041586	19043162	19043346	3	34	0			148	74	NA	NA	1.0		NA
4	"ENSG00000176728.10"	"TTTY14"	chrY	-	19043162	19044695	19043162	19043346	19044541	19044695	4	38	0			148	74	NA	NA	1.0		NA
5	"ENSG00000176728.10"	"TTTY14"	chrY	-	19043162	19044695	19043162	19043346	19044661	19044695	5	47	0			148	74	NA	NA	1.0		NA
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	19	15			148	74	NA	NA	0.388		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	83	671			148	74	NA	NA	0.058		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	132	2861			148	74	NA	NA	0.023		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	208	6463			148	74	NA	NA	0.016		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	101	1242			148	74	NA	NA	0.039		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	20	142	946			148	74	NA	NA	0.07		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	21	112	1			148	74	NA	NA	0.982		NA
23	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	23	39	71			148	74	NA	NA	0.215		NA
24	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	24	11	138			148	74	NA	NA	0.038		NA
29	"ENSG00000063587.15"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926	29	72	0			148	74	NA	NA	1.0		NA
36	"ENSG00000171100.16"	"MTM1"	chrX	+	150660370	150663609	150660370	150660484	150663432	150663609	36	8	39			148	74	NA	NA	0.093		NA
