ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
123	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154460156	154460777	154458280	154458428	154461098	154461638	123	29	0			148	74	NA	NA	1.0		NA
124	"ENSG00000203879.12"	"GDI1"	chrX	+	154438215	154438386	154437165	154437299	154438522	154438630	124	0	41			148	74	NA	NA	0.0		NA
125	"ENSG00000203879.12"	"GDI1"	chrX	+	154439709	154439797	154439005	154439140	154439940	154440189	125	0	166			148	74	NA	NA	0.0		NA
126	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154400701	154400811	126	5937	69			148	74	NA	NA	0.977		NA
127	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154403262	154403497	127	2247	0			148	74	NA	NA	1.0		NA
128	"ENSG00000196924.19"	"FLNA"	chrX	-	154352552	154352675	154352180	154352447	154352771	154352783	128	630	9			148	74	NA	NA	0.972		NA
129	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353295	154353457	154353914	154354043	129	831	29			148	74	NA	NA	0.935		NA
130	"ENSG00000196924.19"	"FLNA"	chrX	-	154353914	154354043	154353295	154353457	154354150	154354291	130	345	2			148	74	NA	NA	0.989		NA
131	"ENSG00000196924.19"	"FLNA"	chrX	-	154354615	154354711	154354380	154354483	154354824	154354889	131	963	65			148	74	NA	NA	0.881		NA
132	"ENSG00000196924.19"	"FLNA"	chrX	-	154357250	154357274	154354824	154355072	154357433	154357623	132	116	176			98	74	NA	NA	0.332		NA
133	"ENSG00000196924.19"	"FLNA"	chrX	-	154361307	154361570	154359989	154360587	154361669	154361787	133	917	1			148	74	NA	NA	0.998		NA
134	"ENSG00000196924.19"	"FLNA"	chrX	-	154361669	154361787	154361307	154361570	154361978	154362148	134	816	1			148	74	NA	NA	0.998		NA
135	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154365801	154365348	154365486	154366023	154366224	135	23	329			131	74	NA	NA	0.038		NA
136	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470	136	356	2			148	74	NA	NA	0.989		NA
137	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334	137	662	2			148	74	NA	NA	0.994		NA
138	"ENSG00000196924.19"	"FLNA"	chrX	-	154366731	154366850	154366561	154366639	154367396	154367544	138	807	1			148	74	NA	NA	0.998		NA
139	"ENSG00000196924.19"	"FLNA"	chrX	-	154367640	154367738	154367396	154367544	154367841	154368090	139	816	2			148	74	NA	NA	0.995		NA
144	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154032206	154032557	154092183	154092307	144	17	2			148	74	NA	NA	0.81		NA
147	"ENSG00000169057.24"	"MECP2"	chrX	-	154092183	154092307	154032206	154032557	154097603	154097663	147	39	0			148	74	NA	NA	1.0		NA
148	"ENSG00000172534.14"	"HCFC1"	chrX	-	153950812	153950998	153950242	153950543	153951349	153951487	148	28	2			148	74	NA	NA	0.875		NA
149	"ENSG00000172534.14"	"HCFC1"	chrX	-	153956624	153956763	153956190	153956411	153956917	153957060	149	39	2			148	74	NA	NA	0.907		NA
150	"ENSG00000172534.14"	"HCFC1"	chrX	-	153958568	153958766	153958024	153958249	153959330	153959491	150	76	12			148	74	NA	NA	0.76		NA
151	"ENSG00000172534.14"	"HCFC1"	chrX	-	153961541	153961648	153960234	153960414	153962221	153962306	151	69	3			148	74	NA	NA	0.92		NA
152	"ENSG00000102032.13"	"RENBP"	chrX	-	153936003	153936105	153935488	153935576	153940101	153940215	152	0	10			148	74	NA	NA	0.0		NA
154	"ENSG00000102032.13"	"RENBP"	chrX	-	153941949	153942031	153941477	153941653	153942854	153943079	154	42	0			148	74	NA	NA	1.0		NA
157	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932115	153930762	153930847	153932315	153932431	157	21	0			119	74	NA	NA	1.0		NA
161	"ENSG00000180879.14"	"SSR4"	chrX	+	153795927	153796126	153794675	153794754	153796433	153796552	161	5	21			148	74	NA	NA	0.106		NA
162	"ENSG00000180879.14"	"SSR4"	chrX	+	153797457	153797532	153794658	153796552	153797724	153797814	162	304	0			148	74	NA	NA	1.0		NA
164	"ENSG00000185825.17"	"BCAP31"	chrX	-	153723507	153723612	153723152	153723288	153724333	153724435	164	15	36			148	74	NA	NA	0.172		NA
187	"ENSG00000102287.19"	"GABRE"	chrX	-	151955367	151955567	151953123	151955084	151955707	151955860	187	19	0			148	74	NA	NA	1.0		NA
188	"ENSG00000102287.19"	"GABRE"	chrX	-	151961282	151961365	151959838	151959976	151962422	151962643	188	0	15			148	74	NA	NA	0.0		NA
203	"ENSG00000063601.17"	"MTMR1"	chrX	+	150751029	150751240	150750729	150750843	150755688	150755865	203	0	20			148	74	NA	NA	0.0		NA
214	"ENSG00000171100.16"	"MTM1"	chrX	+	150645682	150645871	150639725	150641418	150649715	150649901	214	16	0			148	74	NA	NA	1.0		NA
222	"ENSG00000197021.9"	"EOLA2"	chrX	-	149934376	149934568	149934004	149934137	149937432	149937480	222	11	27			148	74	NA	NA	0.169		NA
223	"ENSG00000197021.9"	"EOLA2"	chrX	-	149934376	149934573	149934004	149934137	149937432	149937480	223	24	27			148	74	NA	NA	0.308		NA
224	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149486924	149487098	149477103	149483218	149490313	149490440	224	106	1			148	74	NA	NA	0.981		NA
225	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149498106	149498307	149496345	149496516	149500948	149501037	225	184	6			148	74	NA	NA	0.939		NA
227	"ENSG00000241769.7"	"LINC00893"	chrX	-	149538723	149538906	149538114	149538172	149540694	149540813	227	20	6			148	74	NA	NA	0.625		NA
228	"ENSG00000010404.18"	"IDS"	chrX	-	149491537	149491667	149490313	149490440	149496345	149496516	228	4	44			148	74	NA	NA	0.043		NA
229	"ENSG00000010404.18"	"IDS"	chrX	-	149499228	149499354	149498106	149498307	149500948	149501037	229	10	77			148	74	NA	NA	0.061		NA
230	"ENSG00000010404.18"	"IDS"	chrX	-	149502074	149502177	149500948	149501037	149503311	149503489	230	1	41			148	74	NA	NA	0.012		NA
267	"ENSG00000147274.14"	"RBMX"	chrX	-	136876502	136876655	136875470	136875585	136879016	136879123	267	34	0			148	74	NA	NA	1.0		NA
268	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136877964	136876599	136876655	136879016	136879123	268	68	0			124	74	NA	NA	1.0		NA
269	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136876502	136876655	136879016	136879123	269	154	0			148	74	NA	NA	1.0		NA
270	"ENSG00000169446.6"	"MMGT1"	chrX	-	135967389	135967493	135960587	135965183	135971057	135971110	270	13	0			148	74	NA	NA	1.0		NA
276	"ENSG00000156504.17"	"PABIR2"	chrX	-	134789579	134789636	134789222	134789266	134793814	134793893	276	15	5			131	74	NA	NA	0.629		NA
288	"ENSG00000134602.16"	"STK26"	chrX	+	132054630	132054861	132023507	132023659	132063432	132063489	288	29	1			148	74	NA	NA	0.935		NA
290	"ENSG00000134602.16"	"STK26"	chrX	+	132069477	132069663	132068411	132068569	132071068	132071217	290	53	0			148	74	NA	NA	1.0		NA
291	"ENSG00000134597.17"	"RBMX2"	chrX	+	130409256	130409386	130403801	130403853	130411347	130411524	291	19	1			148	74	NA	NA	0.905		NA
