ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	39	58			148	74	NA	NA	0.252		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	114	1616			148	74	NA	NA	0.034		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	340	6749			148	74	NA	NA	0.025		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	364	11856			148	74	NA	NA	0.015		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	191	2021			148	74	NA	NA	0.045		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	20	257	2			148	74	NA	NA	0.985		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	21	291	1732			148	74	NA	NA	0.077		NA
22	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	22	291	5			148	74	NA	NA	0.967		NA
23	"ENSG00000169057.24"	"MECP2"	chrX	-	154033438	154034174	154033438	154033635	154033923	154034174	23	17	1			148	74	NA	NA	0.895		NA
24	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944418	153944079	153944155	153944308	153944418	24	4	13			148	74	NA	NA	0.133		NA
25	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	25	59	90			148	74	NA	NA	0.247		NA
26	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	26	15	184			148	74	NA	NA	0.039		NA
