ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000012817.16"	"KDM5D"	chrY	-	19709450	19710260	19709450	19709809	19710375	19710472	1	13	45			148	74	NA	NA	0.126		NA
2	"ENSG00000012817.16"	"KDM5D"	chrY	-	19715822	19716111	19715822	19716004	19716278	19716473	2	59	27			148	74	NA	NA	0.522		NA
3	"ENSG00000012817.16"	"KDM5D"	chrY	-	19715822	19716111	19715822	19716004	19716595	19716715	3	56	8			148	74	NA	NA	0.778		NA
4	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19588369	19589612	19589520	19589612	19587209	19587507	4	8	12			148	74	NA	NA	0.25		NA
5	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19591779	19591959	19591919	19591959	19589520	19589612	5	17	1			148	74	NA	NA	0.895		NA
6	"ENSG00000183878.16"	"UTY"	chrY	-	13358463	13358619	13358463	13358553	13359087	13359222	6	6	4			140	74	NA	NA	0.442		NA
14	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154438522	154438630	154437153	154437299	14	1	59			121	74	NA	NA	0.01		NA
15	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351883	154352021	15	1496	2			148	74	NA	NA	0.997		NA
16	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351883	154352021	16	1510	1			148	74	NA	NA	0.999		NA
17	"ENSG00000196924.19"	"FLNA"	chrX	-	154353000	154353221	154353000	154353204	154353295	154353457	17	4	1198			91	74	NA	NA	0.003		NA
18	"ENSG00000196924.19"	"FLNA"	chrX	-	154365135	154365259	154365135	154365257	154365348	154365486	18	1062	1			76	74	NA	NA	0.999		NA
19	"ENSG00000169057.24"	"MECP2"	chrX	-	154056940	154057254	154056940	154057179	154057742	154057842	19	25	3			148	74	NA	NA	0.806		NA
20	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058548	154058398	154058522	154092183	154092307	20	13	3			100	74	NA	NA	0.762		NA
21	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058522	154092183	154092307	21	24	3			118	74	NA	NA	0.834		NA
22	"ENSG00000169057.24"	"MECP2"	chrX	-	154058398	154058566	154058398	154058548	154092183	154092307	22	11	0			92	74	NA	NA	1.0		NA
23	"ENSG00000172534.14"	"HCFC1"	chrX	-	153951840	153952161	153951840	153952158	153952513	153952958	23	15	129			77	74	NA	NA	0.101		NA
24	"ENSG00000172534.14"	"HCFC1"	chrX	-	153952513	153953090	153952513	153952958	153953606	153953770	24	58	66			148	74	NA	NA	0.305		NA
25	"ENSG00000102032.13"	"RENBP"	chrX	-	153942854	153943079	153942854	153943034	153943545	153943718	25	32	2			119	74	NA	NA	0.909		NA
27	"ENSG00000147394.19"	"ZNF185"	chrX	+	152920706	152920748	152920709	152920748	152920327	152920411	27	10	3			77	74	NA	NA	0.762		NA
30	"ENSG00000171100.16"	"MTM1"	chrX	+	150649715	150649901	150649776	150649901	150645682	150645871	30	49	0			135	74	NA	NA	1.0		NA
31	"ENSG00000171100.16"	"MTM1"	chrX	+	150659663	150659756	150659670	150659756	150657820	150658027	31	33	0			81	74	NA	NA	1.0		NA
33	"ENSG00000197620.11"	"EOLA1"	chrX	+	149545601	149545883	149545767	149545883	149545367	149545500	33	50	1			148	74	NA	NA	0.962		NA
34	"ENSG00000147274.14"	"RBMX"	chrX	-	136877914	136878086	136877914	136877964	136879016	136879123	34	1036	12			148	74	NA	NA	0.977		NA
35	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879158	136879016	136879123	136879318	136879453	35	10	407			109	74	NA	NA	0.016		NA
36	"ENSG00000156504.17"	"PABIR2"	chrX	-	134785885	134785950	134785885	134785947	134787471	134787533	36	32	29			77	74	NA	NA	0.515		NA
38	"ENSG00000156531.18"	"PHF6"	chrX	+	134413487	134413657	134413490	134413657	134393908	134393952	38	32	148			77	74	NA	NA	0.172		NA
41	"ENSG00000125676.20"	"THOC2"	chrX	-	123600568	123603748	123600568	123601338	123610917	123610963	41	14	46			148	74	NA	NA	0.132		NA
42	"ENSG00000125676.20"	"THOC2"	chrX	-	123610917	123610963	123610917	123610957	123611439	123611516	42	42	17			80	74	NA	NA	0.696		NA
43	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620906	123620965	43	35	26			148	74	NA	NA	0.402		NA
