ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000012817.16"	"KDM5D"	chrY	-	19706440	19706863	19706440	19706640	19706793	19706863	0	80	43			148	74	NA	NA	0.482		NA
1	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19588369	19589612	19588369	19588650	19589526	19589612	1	35	0			148	74	NA	NA	1.0		NA
3	"ENSG00000176728.10"	"TTTY14"	chrY	-	19041369	19043346	19041369	19041586	19043162	19043346	3	23	0			148	74	NA	NA	1.0		NA
4	"ENSG00000176728.10"	"TTTY14"	chrY	-	19043162	19044695	19043162	19043346	19044541	19044695	4	33	0			148	74	NA	NA	1.0		NA
5	"ENSG00000176728.10"	"TTTY14"	chrY	-	19043162	19044695	19043162	19043346	19044661	19044695	5	25	0			148	74	NA	NA	1.0		NA
15	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	15	34	22			148	74	NA	NA	0.436		NA
16	"ENSG00000147403.18"	"RPL10"	chrX	+	154398376	154398542	154398376	154398394	154398496	154398542	16	22	561			148	74	NA	NA	0.019		NA
17	"ENSG00000147403.18"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	17	243	2536			148	74	NA	NA	0.046		NA
18	"ENSG00000147403.18"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	18	354	6142			148	74	NA	NA	0.028		NA
19	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	19	348	1375			148	74	NA	NA	0.112		NA
20	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	20	426	2			148	74	NA	NA	0.991		NA
21	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	21	459	1086			148	74	NA	NA	0.174		NA
22	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365744	154365801	154366023	154366224	22	496	6			148	74	NA	NA	0.976		NA
23	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944418	153944079	153944155	153944308	153944418	23	9	11			148	74	NA	NA	0.29		NA
24	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	24	35	39			148	74	NA	NA	0.31		NA
25	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	25	9	68			148	74	NA	NA	0.062		NA
30	"ENSG00000063587.15"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926	30	65	0			148	74	NA	NA	1.0		NA
37	"ENSG00000171100.16"	"MTM1"	chrX	+	150660370	150663609	150660370	150660484	150663432	150663609	37	5	19			148	74	NA	NA	0.116		NA
41	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	41	282	58			148	74	NA	NA	0.709		NA
42	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	42	34	132			148	74	NA	NA	0.114		NA
